Front,Back,Right,Left,Up,Status
0.739,0.77,2.599,0.774,1.485,Nothing detected
0.764,0.87,2.626,0.815,1.47,Nothing detected
1.189,1.088,2.925,1.006,1.461,Nothing detected
0.823,2.503,0.772,0.675,1.487,Nothing detected
0.884,2.612,0.818,0.759,1.501,Nothing detected
0.677,2.26,1.023,1.045,1.518,Nothing detected
0.662,0.856,0.848,2.507,1.501,Nothing detected
1.021,0.892,0.573,2.629,1.503,Nothing detected
2.542,0.785,0.46,0.92,1.513,Nothing detected
2.53,0.796,0.561,0.882,1.511,Nothing detected
2.526,0.805,0.571,0.86,1.515,Nothing detected
2.527,0.811,0.564,0.874,1.525,Nothing detected
2.524,0.801,0.552,0.897,1.529,Nothing detected
0.946,0.958,0.497,2.442,1.528,Nothing detected
0.591,0.864,0.817,2.585,1.533,Nothing detected
0.505,2.196,0.805,2.521,1.536,Nothing detected
0.916,2.924,1.333,0.77,1.548,Nothing detected
0.81,2.458,0.787,0.686,1.547,Nothing detected
0.838,2.511,0.848,0.648,1.547,Nothing detected
1.033,1.154,2.257,0.861,1.553,Nothing detected
2.955,1.02,1.037,1.267,1.569,Nothing detected
2.493,0.832,0.798,0.836,1.521,Nothing detected
2.496,0.836,0.792,0.747,1.508,Nothing detected
2.489,0.846,0.808,0.747,1.507,Nothing detected
2.479,0.997,1.181,1.005,1.501,Nothing detected
0.742,0.698,2.558,0.819,1.487,Nothing detected
0.754,0.804,2.496,0.82,1.48,Nothing detected
1.064,1.085,2.424,0.817,1.484,Nothing detected
0.866,2.484,0.794,0.606,1.494,Nothing detected
0.741,2.592,0.945,0.989,1.503,Nothing detected
0.457,0.99,0.736,2.61,1.511,Nothing detected
0.602,0.966,0.479,3.087,1.524,Nothing detected
2.586,0.745,0.395,1.026,1.531,Nothing detected
2.555,0.788,0.472,1.011,1.539,Nothing detected
2.536,0.818,0.497,0.993,1.54,Nothing detected
2.503,0.828,0.49,0.989,1.542,Nothing detected
2.509,0.828,0.485,1.053,1.54,Nothing detected
0.95,0.909,0.422,2.481,1.545,Nothing detected
0.526,0.944,0.819,2.526,1.54,Nothing detected
0.774,2.533,0.843,0.61,1.542,Nothing detected
0.902,0.574,2.492,0.778,1.565,Nothing detected
2.995,0.901,0.61,1.475,1.577,Nothing detected
2.509,0.814,0.749,0.924,1.515,Nothing detected
2.5,0.815,0.749,0.909,1.518,Nothing detected
2.636,0.852,0.789,2.02,1.519,Nothing detected
0.877,0.569,2.587,0.727,1.5,Nothing detected
1.003,0.794,3.035,0.818,1.499,Nothing detected
0.7,1.169,2.345,0.619,1.492,Nothing detected
0.609,2.721,0.978,0.419,1.48,Nothing detected
0.51,2.521,0.688,1.039,1.503,Nothing detected
0.434,0.944,0.689,2.775,1.507,Nothing detected
0.617,1.049,0.767,3.227,1.511,Nothing detected
0.998,0.811,0.473,2.485,1.516,Nothing detected
2.566,0.746,0.559,0.899,1.526,Nothing detected
2.566,0.769,0.571,0.896,1.527,Nothing detected
2.554,0.778,0.557,0.912,1.531,Nothing detected
2.538,0.778,0.534,0.948,1.535,Nothing detected
0.912,0.91,0.516,2.69,1.542,Nothing detected
0.519,0.922,0.767,2.575,1.531,Nothing detected
0.724,2.621,0.925,0.458,1.548,Nothing detected
1.135,0.569,3.133,0.757,1.574,Nothing detected
0.872,0.437,2.652,0.652,1.578,Nothing detected
3.274,0.727,0.652,0.978,1.565,Nothing detected
2.405,0.897,0.842,0.677,1.525,Nothing detected
2.414,0.908,0.839,0.664,1.527,Nothing detected
2.624,0.979,0.89,0.743,1.522,Nothing detected
2.799,1.133,1.073,1.265,1.507,Nothing detected
0.693,0.788,2.407,0.903,1.486,Nothing detected
0.751,0.808,2.572,0.947,1.482,Nothing detected
0.958,2.399,0.756,0.748,1.499,Nothing detected
0.962,2.547,0.917,0.773,1.495,Nothing detected
0.681,0.757,0.83,2.507,1.489,Nothing detected
0.734,2.0,0.851,2.683,1.493,Nothing detected
2.608,0.74,0.518,0.897,1.511,Nothing detected
2.624,0.757,0.59,2.143,1.509,Nothing detected
2.734,0.766,0.566,2.171,1.509,Nothing detected
2.745,0.755,0.544,2.178,1.521,Nothing detected
2.705,0.738,0.534,2.213,1.531,Nothing detected
2.61,0.712,0.429,0.99,1.537,Nothing detected
0.422,0.897,0.695,2.646,1.539,Nothing detected
0.539,2.449,0.795,1.041,1.533,Nothing detected
1.186,0.546,3.137,0.77,1.605,Nothing detected
1.016,0.342,2.622,0.668,1.609,Nothing detected
1.08,0.268,1.169,0.642,1.606,Anomaly Detected
2.716,0.301,0.678,0.711,1.594,Nothing detected
2.542,0.772,0.789,0.653,1.515,Nothing detected
2.538,0.771,0.786,0.652,1.497,Nothing detected
2.649,0.806,0.835,0.721,1.499,Nothing detected
0.704,0.775,2.442,0.832,1.474,Nothing detected
0.75,0.867,2.74,0.935,1.467,Nothing detected
1.347,1.052,2.69,1.121,1.468,Nothing detected
0.918,2.422,0.714,0.797,1.493,Nothing detected
0.926,2.527,0.77,0.822,1.491,Nothing detected
0.684,0.742,0.844,2.533,1.484,Nothing detected
0.753,0.778,0.819,2.558,1.498,Nothing detected
2.647,0.658,0.53,0.962,1.511,Nothing detected
2.685,0.623,0.483,1.057,1.522,Nothing detected
2.69,0.613,0.473,0.981,1.527,Nothing detected
1.052,0.739,0.648,1.115,1.531,Nothing detected
0.435,2.18,0.679,2.759,1.536,Nothing detected
0.208,0.297,0.133,0.467,2.059,Anomaly Detected
0.212,0.293,0.13,0.509,2.058,Anomaly Detected
0.208,0.297,0.135,0.538,2.059,Anomaly Detected
0.211,0.295,0.128,0.53,2.06,Anomaly Detected
0.206,0.299,0.131,0.53,2.059,Anomaly Detected
0.21,0.296,0.131,0.522,2.06,Anomaly Detected
0.206,0.294,0.131,0.523,2.06,Anomaly Detected
0.209,0.296,0.129,0.522,2.058,Anomaly Detected
0.209,0.296,0.129,0.526,2.056,Anomaly Detected
0.21,0.296,0.131,0.527,2.057,Anomaly Detected
0.21,0.296,0.131,0.525,2.059,Anomaly Detected
0.211,0.295,0.128,0.528,2.062,Anomaly Detected
0.209,0.299,0.132,0.523,2.061,Anomaly Detected
0.209,0.29,0.131,0.522,2.058,Anomaly Detected
0.209,0.299,0.133,0.528,2.061,Anomaly Detected
0.208,0.297,0.133,0.535,2.058,Anomaly Detected
0.207,0.295,0.13,0.537,2.059,Anomaly Detected
0.209,0.298,0.13,0.551,2.061,Anomaly Detected
0.213,0.291,0.131,0.544,2.06,Anomaly Detected
0.21,0.296,0.131,0.518,2.058,Anomaly Detected
0.206,0.296,0.13,0.386,2.06,Anomaly Detected
0.211,0.293,0.13,0.379,2.065,Anomaly Detected
0.208,0.296,0.131,0.38,2.058,Anomaly Detected
0.207,0.296,0.13,0.382,2.056,Anomaly Detected
0.209,0.295,0.13,0.383,2.058,Anomaly Detected
0.211,0.296,0.13,0.381,2.057,Anomaly Detected
0.208,0.298,0.132,0.378,2.064,Anomaly Detected
0.211,0.295,0.131,0.381,2.06,Anomaly Detected
0.21,0.298,0.13,0.383,2.061,Anomaly Detected
0.21,0.296,0.133,0.382,2.057,Anomaly Detected
0.215,0.298,0.131,0.383,2.061,Anomaly Detected
0.214,0.295,0.133,0.378,2.056,Anomaly Detected
0.214,0.298,0.132,0.384,2.06,Anomaly Detected
0.212,0.295,0.131,0.384,2.054,Anomaly Detected
0.214,0.299,0.132,0.381,2.059,Anomaly Detected
0.21,0.296,0.131,0.376,2.059,Anomaly Detected
0.209,0.299,0.133,0.385,2.059,Anomaly Detected
